89053-640;Itoupava norte;Rua Sao Rafael;-26.8717652;-49.0852778;7.4
89056-530;Fortaleza;Rua Martha Cordeiro;-26.8651813;-49.0803552;7.6
89056-560;Fortaleza;Rua Albert Goll;-26.862637;-49.0782841;7.65
89053-640;Itoupava norte;Rua Sao Rafael;-26.8717652;-49.0852778;7.75
89056-530;Fortaleza;Rua Martha Cordeiro;-26.8651813;-49.0803552;7.8
89055-260;Fortaleza;Rua Max Scheidemantel;-26.8856828;-49.0643841;7.9
89053-598;Itoupava norte;Rua Max Aldemann;-26.8663556;-49.0808807;7.95
89053-598;Itoupava norte;Rua Max Aldemann;-26.8663556;-49.0808807;8.35
89066-320;Itoupavazinha;Rua Roberto Bruch;-26.8590242;-49.0903229;8.55
89031-110;Do salto;Rua Europa;-26.884107;-49.0943342;8.75
89053-590;Itoupava norte;Rua Sao Cristovao;-26.8707056;-49.0879875;8.8
89056-010;Fortaleza;Rua Adolfo Radunz;-26.881529;-49.0676028;8.8
89030-060;Itoupava seca;Rua Adolfo Jose dos Santos;-26.8932911;-49.0816183;8.85
89056-010;Fortaleza;Rua Adolfo Radunz;-26.881529;-49.0676028;8.9
89015-125;Ribeirao fresco;Rua Alwin Schrader;-26.9255483;-49.0511884;8.9
89056-010;Fortaleza;Rua Adolfo Radunz;-26.881529;-49.0676028;9.0
89015-130;Ribeirao fresco;Rua Corumba;-26.9268086;-49.0503395;9.0
89056-560;Fortaleza;Rua Albert Goll;-26.862637;-49.0782841;9.05
89066-510;Itoupavazinha;Rua Frederico Jensen;-26.8605872;-49.0990946;9.05
89015-133;Ribeirao fresco;Rua Tefe;-26.9263716;-49.0499686;9.05
89012-410;Centro;Rua Anapolis;-26.9139149;-49.0760416;9.1
89030-230;Itoupava seca;Rua Heloy Dalsasso;-26.8976894;-49.0831355;9.2
89012-410;Centro;Rua Anapolis;-26.9139149;-49.0760416;9.2
89015-125;Ribeirao fresco;Rua Alwin Schrader;-26.9255483;-49.0511884;9.25
89012-455;Centro;Rua Emilio Kock;-26.9118651;-49.078331;9.25
89021-500;Garcia;Rua Jabora;-26.9433691;-49.0745432;9.25
89052-390;Itoupava norte;Rua Guaraquicaba;-26.8846053;-49.0690506;9.3
89052-395;Itoupava norte;Rua Guaratuba;-26.8687137;-49.216275;9.3
89012-130;Victor konder;Rua Paraiba;-26.9124466;-49.0737457;9.3
89015-050;Centro;Rua Augusta Abry;-26.9224663;-49.0553706;9.35
89066-032;Itoupavazinha;Rua Guilherme Scharf;-26.8510262;-49.0871018;9.35
89030-410;Itoupava seca;Rua Alfredo Hering;-26.8898047;-49.0858447;9.35
89030-230;Itoupava seca;Rua Heloy Dalsasso;-26.8976894;-49.0831355;9.35
89030-001;Victor konder;Rua Sao Paulo;-26.9044071;-49.0773754;9.4
89015-110;Ribeirao fresco;Rua Joao Manoel da Luz;-26.9266663;-49.0524048;9.4
89012-130;Victor konder;Rua Paraiba;-26.9124466;-49.0737457;9.4
89012-150;Victor konder;Rua Desembargador Pedro Silva;-26.9117764;-49.0747612;9.4
89066-310;Itoupavazinha;Rua Moacir Silvino Cunha;-26.8595428;-49.0891287;9.4
89056-560;Fortaleza;Rua Albert Goll;-26.862637;-49.0782841;9.4
89030-400;Itoupava seca;Rua Coronel Feddersen;-26.8902201;-49.0866196;9.4
89012-480;Centro;Rua Ayres Gama;-26.9133497;-49.079564;9.4
89053-598;Itoupava norte;Rua Max Aldemann;-26.8663556;-49.0808807;9.45
